Project Code,Location Name,Area,Service Name
BRIN20230426,Denpasar Bali,Security,Security Service
BRIN20230426,Denpasar Bali,Gedung Administrasi Lt. 1,Cleaning Service
BRIN20230426,Denpasar Bali,Gedung Laboratorium Lt.1,Cleaning Service
BRIN20230426,Denpasar Bali,Gedung Laboratorium Lt.2,Cleaning Service
BRIN20230426,Denpasar Bali,Gedung Produksi Lt.1,Cleaning Service
BRIN20230426,Denpasar Bali,Gedung Asrama Lt.1,Cleaning Service
BRIN20230426,Denpasar Bali,Rumah Dinas,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Security,Security Service
BRIN20230426,Arkenas Balar Bali,Driver,Labor Service
BRIN20230426,Arkenas Balar Bali,Gedung Utama Lt. 1,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Gedung Utama Lt. 2,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Gedung Blok Barat Lt. 1,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Gedung Blok Barat Lt. 2,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Gedung Pameran,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Gedung Perpustakaan,Cleaning Service
BRIN20230426,Arkenas Balar Bali,Halaman,Cleaning Service
